Object,log_MBH,z
Mrk335,7.23,0.02579
Mrk1501,8.067,0.08934
PG0026+129,8.487,0.142
PG0052+251,8.462,0.15445
Fairall9,8.299,0.04702
Mrk590,7.57,0.02639
3C120,7.745,0.03301
H0507+164,6.876,0.01788
Ark120,8.068,0.03271
MCG+08-11-011,7.288,0.02048
Mrk6,8.102,0.01881
Mrk79,7.612,0.02219
PG0804+761,8.735,0.1
APM08279+5255,9.869,3.9122
NGC2617,6.934,0.01421
PG0934+013,6.407,0.05034
PG0953+414,8.333,0.2341
NGC3227,6.684,0.00386
NGC3516,7.399,0.00884
NGC3783,7.079,0.00973
NGC4051,5.891,0.00234
NGC4151,7.374,0.00332
NGC4395,5.449,0.00106
PG1226+023,8.839,0.15834
NGC4593,6.912,0.009
PG1411+442,8.539,0.0896
NGC5548,7.692,0.01718
PG1426+015,9.007,0.08657
PG1613+658,8.339,0.129
PG1617+175,8.667,0.11244
